               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,             0.06985,            0.013229,           0.0046569,           0.0011287,                   1,               0.995,             0.11545,            0.046007,           0.0096936,           0.0014003,             0.01229,           0.0072898,           0.0072898
                  48,            0.058211,            0.013578,           0.0042105,           0.0011287,                   1,               0.995,             0.11545,            0.046007,           0.0096936,           0.0014003,            0.010395,           0.0073953,           0.0073953
                  49,            0.059806,            0.011764,           0.0047635,           0.0011296,                   1,               0.995,             0.34149,             0.06049,           0.0081337,           0.0012147,           0.0084988,           0.0074988,           0.0074988
                  50,            0.082244,           0.0091019,           0.0045569,           0.0011296,                   1,               0.995,             0.34149,             0.06049,           0.0081337,           0.0012147,            0.007525,            0.007525,            0.007525
                  51,            0.066448,            0.012958,           0.0043142,           0.0011322,                   1,               0.995,             0.39885,            0.046229,           0.0098817,           0.0014282,            0.007525,            0.007525,            0.007525
                  52,             0.05197,            0.013692,           0.0043654,           0.0011322,                   1,               0.995,             0.39885,            0.046229,           0.0098817,           0.0014282,           0.0074755,           0.0074755,           0.0074755
                  53,            0.052667,            0.016194,           0.0047418,           0.0011277,                   1,               0.995,              0.3007,            0.039023,           0.0098091,           0.0014566,            0.007426,            0.007426,            0.007426
                  54,            0.064457,              0.0162,            0.005424,           0.0011277,                   1,               0.995,              0.3007,            0.039023,           0.0098091,           0.0014566,           0.0073765,           0.0073765,           0.0073765
                  55,             0.06372,            0.015653,           0.0053365,            0.001541,                   1,               0.995,             0.54725,            0.043584,           0.0093525,           0.0013726,            0.007327,            0.007327,            0.007327
                  56,            0.049493,            0.015703,           0.0049055,            0.001541,                   1,               0.995,             0.54725,            0.043584,           0.0093525,           0.0013726,           0.0072775,           0.0072775,           0.0072775
                  57,            0.043733,            0.014159,           0.0041952,            0.001827,                   1,               0.995,               0.398,            0.046786,           0.0087489,           0.0012393,            0.007228,            0.007228,            0.007228
                  58,            0.060117,            0.012513,           0.0045305,            0.001827,                   1,               0.995,               0.398,            0.046786,           0.0087489,           0.0012393,           0.0071785,           0.0071785,           0.0071785
                  59,             0.06259,            0.012615,           0.0042895,           0.0032073,                   1,               0.995,               0.597,            0.034296,            0.009871,           0.0012879,            0.007129,            0.007129,            0.007129
                  60,            0.049116,            0.015127,           0.0040384,           0.0032073,                   1,               0.995,               0.597,            0.034296,            0.009871,           0.0012879,           0.0070795,           0.0070795,           0.0070795
                  61,            0.051409,            0.014791,           0.0038657,           0.0075603,                   1,               0.995,             0.39836,            0.047458,           0.0087584,           0.0011216,             0.00703,             0.00703,             0.00703
                  62,            0.062825,           0.0089536,            0.003542,           0.0075603,                   1,               0.995,             0.39836,            0.047458,           0.0087584,           0.0011216,           0.0069805,           0.0069805,           0.0069805
                  63,            0.053442,             0.01246,           0.0034323,           0.0058288,                   1,               0.995,              0.6965,            0.044777,           0.0098555,           0.0014048,            0.006931,            0.006931,            0.006931
                  64,            0.053056,            0.012474,           0.0039205,           0.0058288,                   1,               0.995,              0.6965,            0.044777,           0.0098555,           0.0014048,           0.0068815,           0.0068815,           0.0068815
                  65,            0.049243,            0.011505,           0.0039501,           0.0057804,                   1,               0.398,              0.2388,            0.041817,           0.0097618,           0.0011933,            0.006832,            0.006832,            0.006832
